
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
34,Matt Barnes,SF,33,LAC,63,1735,12.0,.552,.530,.171,.537,4.0,14.4,9.3,10.6,1.6,1.2,13.0,16.6,107,106,1.5,2.0,3.5,.097
35,Will Barton,SG,23,POR,41,387,13.5,.488,.449,.205,.212,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,103,107,0.3,0.4,0.6,.078
36,Brandon Bass,PF,28,BOS,82,2266,15.0,.549,.487,.330,.008,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,111,108,3.2,1.9,5.1,.107
37,Shane Battier,SF,35,MIA,73,1468,8.7,.523,.515,.084,.764,3.0,8.6,5.9,6.0,1.8,2.3,6.9,10.0,110,108,1.0,1.4,2.4,.078
38,Nicolas Batum,SF,25,POR,82,2956,15.8,.589,.554,.248,.491,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,113,106,4.8,3.1,7.9,.128
39,Jerryd Bayless,PG,25,TOT,72,1686,12.0,.498,.464,.191,.344,1.5,8.6,5.0,18.5,1.9,0.4,10.9,20.1,103,109,1.1,1.3,2.4,.069
39,Jerryd Bayless,PG,25,MEM,31,650,11.3,.473,.429,.238,.347,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,103,107,0.4,0.6,1.0,.077
39,Jerryd Bayless,PG,25,BOS,41,1036,12.5,.514,.485,.161,.341,1.5,8.1,4.7,20.4,2.0,0.3,12.9,19.9,103,109,0.7,0.7,1.4,.064
40,Aron Baynes,C,27,SAS,53,491,9.7,.467,.436,.129,.000,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,97,105,-0.1,0.6,0.6,.055
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
41,Kent Bazemore,SG,24,TOT,67,911,11.2,.515,.491,.318,.373,1.2,12.6,6.9,15.7,2.3,1.0,16.8,22.6,93,108,-0.6,0.8,0.2,.011
41,Kent Bazemore,SG,24,GSW,44,268,6.2,.448,.423,.371,.402,2.1,14.0,8.1,10.9,2.2,1.7,19.9,23.1,81,101,-0.6,0.4,-0.2,-0.034
41,Kent Bazemore,SG,24,LAL,23,643,13.3,.543,.518,.297,.362,0.8,12.0,6.4,17.7,2.3,0.8,15.5,22.3,98,110,0.0,0.4,0.4,.029
42,Bradley Beal,SG,20,WAS,73,2530,14.3,.507,.479,.164,.299,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,103,107,1.6,2.4,4.0,.076
43,Michael Beasley,SF,25,MIA,55,831,16.8,.559,.528,.223,.152,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,103,105,0.5,1.1,1.6,.092
44,Marco Belinelli,SF,27,SAS,80,2016,15.0,.605,.576,.188,.422,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,114,105,3.5,2.4,5.9,.140
45,Anthony Bennett,SF,20,CLE,52,663,6.9,.425,.384,.307,.236,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,85,107,-1.1,0.7,-0.4,-0.028
46,Patrick Beverley,SG,25,HOU,56,1751,12.4,.545,.509,.212,.530,4.9,7.4,6.2,12.8,2.2,1.0,11.2,14.8,115,108,2.7,1.6,4.2,.116
47,Andris Biedrins,C,27,UTA,6,45,2.4,.412,1.000,6.000,.000,5.0,39.7,21.8,0.0,0.0,0.0,35.5,5.7,62,109,-0.1,0.0,0.0,-0.033
48,Chauncey Billups,SG,37,DET,19,309,5.3,.427,.392,.152,.608,1.3,8.9,4.9,18.7,1.3,0.3,22.9,15.1,87,113,-0.3,0.1,-0.3,-0.042
49,Bismack Biyombo,C,21,CHA,77,1072,13.3,.606,.611,.618,.000,11.0,27.6,19.3,1.1,0.3,6.3,17.9,9.6,115,99,1.1,2.1,3.2,.144
50,DeJuan Blair,PF,24,DAL,78,1214,17.3,.557,.534,.308,.005,13.3,21.6,17.5,8.9,2.5,1.4,14.7,19.6,110,105,1.8,1.5,3.4,.133
51,Steve Blake,PG,33,TOT,55,1498,11.0,.508,.489,.122,.595,0.9,10.4,5.7,28.8,1.8,0.4,21.5,13.8,103,109,0.7,1.1,1.8,.058
51,Steve Blake,PG,33,LAL,27,891,12.1,.515,.489,.150,.562,1.0,11.4,6.2,33.0,1.9,0.2,22.2,15.7,103,112,0.4,0.3,0.8,.041
51,Steve Blake,PG,33,GSW,28,607,9.4,.494,.488,.067,.658,0.9,9.0,5.0,22.7,1.6,0.7,20.1,11.2,105,105,0.3,0.7,1.1,.084
52,Andray Blatche,PF,27,BRK,73,1618,18.8,.532,.487,.328,.080,8.9,19.9,14.4,12.8,2.4,2.0,12.5,25.6,104,105,1.6,2.1,3.7,.109
53,Eric Bledsoe,PG,24,PHO,43,1416,19.6,.578,.522,.426,.252,2.1,13.8,8.0,27.0,2.4,0.8,17.8,24.9,110,106,2.6,1.6,4.1,.140
54,Vander Blue,SG,21,BOS,3,15,0.5,.403,.500,1.250,.250,0.0,23.4,11.4,10.7,0.0,0.0,24.4,24.3,64,110,-0.1,0.0,-0.1,-0.214
55,Keith Bogans,SG,33,BOS,6,55,9.9,.820,.750,.500,1.000,0.0,6.4,3.1,7.7,0.9,0.0,12.0,6.7,153,113,0.1,0.0,0.1,.121
56,Andrew Bogut,C,29,GSW,67,1769,17.0,.610,.627,.171,.000,11.4,29.7,20.7,9.3,1.3,5.2,19.4,12.4,115,96,2.4,4.0,6.5,.176
57,Matt Bonner,PF,33,SAS,61,690,11.2,.582,.573,.073,.598,2.7,17.9,10.6,6.1,1.1,1.2,8.6,12.1,114,103,0.8,1.0,1.8,.123
58,Trevor Booker,PF,26,WAS,72,1553,15.0,.563,.551,.189,.005,10.9,17.5,14.1,6.3,1.4,2.4,11.7,14.4,114,104,2.3,2.0,4.3,.132
59,Carlos Boozer,PF,32,CHI,76,2141,14.4,.489,.456,.197,.002,7.4,25.9,16.8,10.9,1.3,0.8,12.6,26.3,95,98,-0.9,4.3,3.4,.076
60,Chris Bosh,C,29,MIA,79,2531,19.0,.597,.555,.285,.229,5.1,20.3,13.0,5.8,1.7,2.7,10.4,22.6,112,104,4.6,3.4,8.0,.152
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
61,Avery Bradley,PG,23,BOS,60,1855,12.7,.510,.485,.136,.242,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,100,109,0.4,1.4,1.8,.046
62,Elton Brand,PF,34,ATL,73,1414,14.0,.561,.539,.283,.006,8.0,21.5,14.8,8.1,1.4,4.9,13.8,13.9,110,103,1.4,2.1,3.6,.121
63,Corey Brewer,SF,27,MIN,81,2609,12.7,.550,.517,.281,.261,2.6,6.2,4.3,7.9,2.9,0.9,10.4,16.5,108,107,2.4,2.7,5.2,.095
64,Ronnie Brewer,SF,28,TOT,24,160,3.4,.220,.233,.133,.533,1.5,7.9,4.9,8.1,1.9,0.5,11.2,4.9,77,109,-0.1,0.1,0.0,.004
